property_id,location,city,state,latitude,longitude,area_sqft,bedrooms,bathrooms,floor_number,total_floors,furnishing_status,property_type,balcony_sqft,parking_spaces,amenities_score,nearby_workplace_km,nearby_school_km,nearby_hospital_km,nearby_metro_km,crime_rate,air_quality_index,monthly_rent
P0080,Veraval - outskirts,Veraval,Gujarat,20.90854,70.356998,938,3,3,3,11,Unfurnished,Apartment,26,2,2,8.68,4.25,7.74,33.82,77.5,136,4026
P0081,Mehsana - central,Mehsana,Gujarat,23.593934,72.356643,1401,4,4,1,1,Furnished,Independent House,63,2,1,6.31,2.5,1.79,37.72,55.7,163,8198
P0082,Ahmedabad - central,Ahmedabad,Gujarat,22.995228,72.579887,1208,4,4,11,11,Furnished,Apartment,137,1,7,8.7,4.88,8.46,14.09,41.1,74,19195
P0083,Junagadh - outskirts,Junagadh,Gujarat,21.5289,70.446655,944,2,2,6,7,Unfurnished,Apartment,64,1,1,3.71,0.68,0.79,20.39,43.8,102,5764
P0084,Nadiad - outskirts,Nadiad,Gujarat,22.711009,72.887625,1598,2,3,3,4,Furnished,Apartment,51,1,1,0.8,7.57,8.67,19.63,73.0,91,8761
P0085,Nadiad - central,Nadiad,Gujarat,22.694401,72.88243,1616,3,3,1,3,Unfurnished,Apartment,113,1,6,4.36,0.5,5.05,35.88,45.6,80,12869
P0086,Rajkot - outskirts,Rajkot,Gujarat,22.296292,70.831407,804,3,2,4,11,Semi-Furnished,Apartment,39,1,2,6.69,6.62,6.31,15.28,49.1,100,7039
P0087,Junagadh - central,Junagadh,Gujarat,21.528123,70.458339,1234,3,3,3,5,Unfurnished,Apartment,88,2,4,1.85,7.46,3.32,18.75,36.2,68,9185
P0088,Jamnagar - central,Jamnagar,Gujarat,22.475711,70.037931,481,1,1,5,9,Unfurnished,Apartment,44,1,1,5.8,7.74,7.87,32.17,36.4,82,3013
P0089,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.189337,72.615185,1022,2,2,1,1,Furnished,Independent House,11,1,2,8.35,3.34,7.79,23.01,60.4,68,10929
P0090,Surat - central,Surat,Gujarat,21.196689,72.860036,644,2,3,6,11,Semi-Furnished,Apartment,56,1,5,9.68,2.19,4.94,23.93,40.0,103,8715
P0091,Porbandar - outskirts,Porbandar,Gujarat,21.628958,69.617048,730,3,3,1,1,Unfurnished,Independent House,21,1,1,4.68,7.84,8.22,38.41,56.3,87,3730
P0092,Vadodara - central,Vadodara,Gujarat,22.283233,73.197446,881,2,3,5,11,Furnished,Apartment,71,1,6,8.1,4.3,6.45,1.31,32.4,112,11012
P0093,Ahmedabad - central,Ahmedabad,Gujarat,23.042756,72.597435,1268,3,3,3,7,Semi-Furnished,Apartment,32,1,6,2.94,5.94,8.53,0.93,49.2,67,18693
P0094,Ahmedabad - outskirts,Ahmedabad,Gujarat,22.999259,72.55115,960,3,4,10,12,Furnished,Apartment,113,2,6,6.61,4.0,9.4,21.28,33.6,83,14939
P0095,Bhavnagar - central,Bhavnagar,Gujarat,21.749383,72.137547,1154,3,3,1,1,Furnished,Independent House,80,2,4,6.28,0.79,6.76,11.47,56.1,118,8007
P0096,Surat - outskirts,Surat,Gujarat,21.157902,72.837978,1225,4,4,4,8,Furnished,Apartment,38,1,6,6.13,7.17,7.09,7.77,58.0,120,16327
P0097,Surat - central,Surat,Gujarat,21.161907,72.856135,1279,4,4,1,1,Unfurnished,Independent House,80,2,8,9.19,5.47,6.04,19.68,29.4,78,20633
P0098,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.026028,72.581766,1120,2,2,1,1,Semi-Furnished,Independent House,64,1,6,10.81,3.62,0.75,3.3,28.9,96,17705
P0099,Vadodara - central,Vadodara,Gujarat,22.335027,73.173668,899,2,2,2,8,Semi-Furnished,Apartment,23,2,4,5.77,2.37,1.96,3.39,35.8,60,10050
P0100,Vapi - central,Vapi,Gujarat,20.40071,72.906667,1237,2,2,3,11,Unfurnished,Apartment,67,1,1,6.44,5.85,2.38,5.12,60.3,106,8897
P0101,Jamnagar - outskirts,Jamnagar,Gujarat,22.481021,70.080033,905,3,3,1,1,Unfurnished,Independent House,11,1,3,11.25,7.12,2.56,7.36,41.5,85,6266
P0102,Surat - central,Surat,Gujarat,21.165014,72.817609,437,1,1,1,1,Furnished,Villa,32,1,7,9.32,6.57,2.52,21.91,53.6,80,6200
P0103,Junagadh - central,Junagadh,Gujarat,21.540847,70.482784,876,3,3,7,8,Unfurnished,Apartment,45,1,1,4.64,6.06,4.84,34.73,45.6,138,5315
P0104,Junagadh - outskirts,Junagadh,Gujarat,21.535958,70.461431,699,1,1,4,4,Unfurnished,Apartment,20,1,2,3.37,5.42,6.11,35.58,56.9,140,4327
P0105,Bhavnagar - outskirts,Bhavnagar,Gujarat,21.756079,72.174869,400,1,1,4,4,Unfurnished,Apartment,35,1,5,3.02,2.64,2.97,21.32,45.4,83,3036
P0106,Bhavnagar - outskirts,Bhavnagar,Gujarat,21.784502,72.151858,783,3,4,1,9,Semi-Furnished,Apartment,32,1,1,11.23,4.68,4.29,10.33,45.8,122,4747
P0107,Anand - outskirts,Anand,Gujarat,22.58368,72.901811,865,3,3,1,1,Semi-Furnished,Independent House,17,1,4,10.69,7.92,9.58,23.34,54.1,95,6802
P0108,Ahmedabad - central,Ahmedabad,Gujarat,23.051149,72.542429,797,2,2,1,8,Unfurnished,Apartment,69,1,7,5.96,0.15,5.61,0.3,32.1,76,13058
P0109,Morbi - outskirts,Morbi,Gujarat,22.835784,70.824237,1203,2,3,2,6,Unfurnished,Apartment,54,1,1,1.13,7.68,4.7,13.51,50.8,87,6270
P0110,Diu - outskirts,Diu,Gujarat,20.736087,71.007253,1299,3,3,3,3,Furnished,Apartment,90,1,1,6.88,6.88,1.13,23.49,60.1,111,9349
P0111,Bhavnagar - central,Bhavnagar,Gujarat,21.788292,72.141804,1714,4,4,1,8,Unfurnished,Apartment,134,1,4,4.9,0.71,1.79,13.42,55.5,79,11919
P0112,Navsari - central,Navsari,Gujarat,20.930388,72.955982,1540,4,4,4,4,Furnished,Apartment,42,1,1,7.23,7.75,3.4,27.19,54.3,77,10190
P0113,Rajkot - central,Rajkot,Gujarat,22.290086,70.78015,564,2,3,1,1,Furnished,Independent House,11,1,3,8.93,2.6,1.24,0.13,42.6,114,5349
P0114,Surat - central,Surat,Gujarat,21.171466,72.842219,514,1,1,10,12,Unfurnished,Apartment,54,0,6,5.08,6.26,7.3,13.99,48.9,82,7080
P0115,Surat - central,Surat,Gujarat,21.162993,72.852832,874,2,2,2,10,Semi-Furnished,Apartment,100,1,7,7.48,3.72,1.53,0.17,26.3,112,13626
P0116,Rajkot - central,Rajkot,Gujarat,22.297476,70.779033,1158,2,2,4,6,Semi-Furnished,Apartment,134,1,2,8.4,3.98,5.84,6.06,32.9,124,10723
P0117,Junagadh - central,Junagadh,Gujarat,21.501749,70.453288,319,1,1,4,6,Unfurnished,Apartment,32,0,1,10.2,6.38,6.8,9.87,48.0,119,2000
P0118,Rajkot - central,Rajkot,Gujarat,22.332916,70.812848,468,2,2,1,1,Semi-Furnished,Independent House,34,1,3,1.2,6.17,6.64,8.88,44.2,85,4414
P0119,Rajkot - outskirts,Rajkot,Gujarat,22.298859,70.829904,1314,2,2,9,11,Semi-Furnished,Apartment,101,1,4,9.31,4.75,5.1,8.62,50.6,93,12788
P0120,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.048295,72.585829,1117,3,4,8,8,Furnished,Apartment,102,1,8,0.73,5.72,0.42,8.58,53.9,108,17733
P0121,Jamnagar - central,Jamnagar,Gujarat,22.48584,70.076224,694,2,2,2,5,Unfurnished,Apartment,43,0,3,7.45,1.66,6.0,18.61,48.6,84,4687
P0122,Ahmedabad - central,Ahmedabad,Gujarat,23.047621,72.57681,1078,3,3,9,10,Unfurnished,Apartment,55,1,6,1.55,2.88,4.69,4.31,31.7,40,16882
P0123,Anand - central,Anand,Gujarat,22.585119,72.936065,914,3,4,3,9,Semi-Furnished,Apartment,56,1,2,11.05,7.45,1.9,10.84,50.4,119,6517
P0124,Valsad - outskirts,Valsad,Gujarat,20.579693,72.932039,637,2,3,7,10,Unfurnished,Apartment,39,1,1,1.18,0.34,7.66,15.22,50.1,134,4279
P0125,Navsari - outskirts,Navsari,Gujarat,20.968432,72.928019,713,2,2,1,8,Unfurnished,Apartment,45,1,1,8.88,5.26,2.63,35.62,59.6,107,4627
P0126,Valsad - central,Valsad,Gujarat,20.603964,72.961744,1004,3,4,3,9,Unfurnished,Apartment,98,2,1,6.93,4.31,6.05,10.89,60.2,101,6501
P0127,Jamnagar - outskirts,Jamnagar,Gujarat,22.456823,70.052554,985,3,4,1,1,Unfurnished,Villa,18,1,1,8.59,6.65,7.66,28.67,37.4,103,6149
P0128,Rajkot - outskirts,Rajkot,Gujarat,22.321641,70.796063,1029,3,4,1,1,Semi-Furnished,Independent House,45,2,4,10.2,0.84,9.73,15.87,39.7,45,10405
P0129,Kheda - outskirts,Kheda,Gujarat,22.78251,72.684168,546,2,2,8,12,Unfurnished,Apartment,59,1,1,7.59,6.71,0.36,37.53,59.5,130,2363
P0130,Diu - outskirts,Diu,Gujarat,20.696805,70.958676,1150,3,3,3,4,Unfurnished,Apartment,97,0,1,7.58,5.84,7.6,20.02,57.3,113,8363
P0131,Gandhinagar - central,Gandhinagar,Gujarat,23.232008,72.652089,852,3,4,1,1,Semi-Furnished,Villa,16,0,3,4.72,5.87,1.2,7.83,53.0,88,9912
P0132,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.050295,72.56027,1206,2,2,4,8,Unfurnished,Apartment,42,1,8,10.35,0.78,1.18,18.81,31.7,66,20686
P0133,Ahmedabad - central,Ahmedabad,Gujarat,23.006965,72.579685,1338,4,4,3,3,Unfurnished,Apartment,54,1,8,4.82,5.2,7.88,19.84,40.7,104,22257
P0134,Ahmedabad - outskirts,Ahmedabad,Gujarat,22.996128,72.588757,1277,3,3,1,1,Semi-Furnished,Independent House,45,1,7,11.46,6.19,0.36,1.69,39.8,87,20382
P0135,Jamnagar - outskirts,Jamnagar,Gujarat,22.444667,70.069621,485,2,2,3,12,Semi-Furnished,Apartment,24,1,2,9.74,4.34,4.03,27.2,58.2,68,2988
P0136,Nadiad - outskirts,Nadiad,Gujarat,22.677755,72.853912,1058,3,3,2,3,Unfurnished,Apartment,90,1,2,1.82,0.19,5.06,17.13,33.5,98,7110
P0137,Navsari - outskirts,Navsari,Gujarat,20.970356,72.963247,878,2,2,2,11,Semi-Furnished,Apartment,103,1,1,6.23,0.54,8.62,10.84,61.5,139,5658
P0138,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.011696,72.59096,1691,2,2,3,9,Furnished,Apartment,196,0,7,9.68,5.74,6.63,5.61,40.2,135,26953
P0139,Junagadh - central,Junagadh,Gujarat,21.510735,70.465263,839,2,3,1,1,Unfurnished,Villa,12,1,2,10.17,2.69,5.62,5.28,54.4,131,5241
P0140,Bhavnagar - central,Bhavnagar,Gujarat,21.78544,72.165533,250,1,1,1,1,Furnished,Independent House,2,1,2,4.29,6.73,8.8,38.28,65.1,101,2000
P0141,Ahmedabad - central,Ahmedabad,Gujarat,23.016161,72.576914,934,2,3,1,7,Furnished,Apartment,40,1,9,10.77,3.72,7.53,14.52,25.8,78,17047
P0142,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.013997,72.58762,1126,3,4,6,8,Semi-Furnished,Apartment,48,1,8,9.29,0.96,1.24,11.24,38.0,91,18906
P0143,Rajkot - central,Rajkot,Gujarat,22.275765,70.796464,1004,3,4,1,3,Unfurnished,Apartment,52,0,4,3.13,2.91,5.23,16.93,44.0,168,10002
P0144,Rajkot - outskirts,Rajkot,Gujarat,22.312659,70.820758,900,2,2,2,6,Furnished,Apartment,54,2,6,1.19,4.73,9.19,1.87,52.6,91,9612
P0145,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.029346,72.578419,973,3,2,1,1,Semi-Furnished,Independent House,59,1,6,5.23,2.9,9.1,6.87,34.7,84,15085
P0146,Anand - central,Anand,Gujarat,22.589361,72.929044,1238,2,2,6,6,Unfurnished,Apartment,89,2,1,9.58,7.92,7.86,17.57,40.9,96,8590
P0147,Rajkot - central,Rajkot,Gujarat,22.333684,70.785365,782,3,3,1,1,Semi-Furnished,Villa,49,2,5,1.38,5.29,2.81,20.41,48.9,87,8060
P0148,Valsad - outskirts,Valsad,Gujarat,20.571878,72.90797,432,1,1,1,8,Unfurnished,Apartment,23,1,4,11.39,6.71,8.14,38.96,46.0,99,3497
P0149,Gandhinagar - central,Gandhinagar,Gujarat,23.220761,72.627094,544,1,1,3,5,Furnished,Apartment,18,1,3,1.51,4.26,3.78,1.81,44.8,62,6516
P0150,Vadodara - outskirts,Vadodara,Gujarat,22.300696,73.210857,852,3,4,10,11,Unfurnished,Apartment,36,1,3,3.82,5.54,1.45,18.22,69.1,72,8002
P0151,Kheda - central,Kheda,Gujarat,22.723684,72.671081,250,1,1,3,10,Semi-Furnished,Apartment,6,1,1,7.71,7.71,8.25,28.45,52.3,84,2000
P0152,Mehsana - central,Mehsana,Gujarat,23.572559,72.344023,1047,2,2,1,1,Unfurnished,Independent House,75,1,1,6.64,0.9,4.9,35.24,43.1,73,6408
P0153,Valsad - central,Valsad,Gujarat,20.606039,72.930652,487,1,1,1,1,Furnished,Independent House,7,2,5,4.19,7.88,8.95,29.66,38.8,119,4254
