property_id,location,city,state,latitude,longitude,area_sqft,bedrooms,bathrooms,floors,balcony_sqft,year_built,property_type,condition,parking_spaces,amenities_score,nearby_schools_km,nearby_hospital_km,nearby_metro_km,crime_rate,air_quality_index,market_trend_score,price
19,Dwarka - Sector 5,Dwarka,Gujarat,22.261419,68.967415,3055,1,1,2,168,2023,Apartment,New,0,10,1.47,3.4,2.29,9.05,155,65,6765529
20,Porbandar - Sector 1,Porbandar,Gujarat,21.648163,69.610145,3376,5,2,2,72,2013,Row House,Good,2,4,1.74,3.7,3.05,9.15,120,75,8495231
21,Porbandar - Sector 17,Porbandar,Gujarat,21.62344,69.642614,3059,3,1,1,46,2003,Farmhouse,Good,3,1,4.71,0.51,4.75,9.18,107,58,7805522
22,Dwarka - Sector 19,Dwarka,Gujarat,22.244339,68.985679,1386,3,2,1,55,1986,Farmhouse,Needs Renovation,1,6,1.86,4.09,4.47,1.89,164,81,3567671
23,Ahmedabad - Sector 18,Ahmedabad,Gujarat,23.028798,72.581929,2567,3,1,1,185,2022,Villa,New,0,5,3.54,2.98,3.37,9.62,173,74,9429537
24,Mehsana - Sector 13,Mehsana,Gujarat,23.606015,72.363355,3535,3,1,2,28,1994,Row House,Needs Renovation,0,6,3.9,4.16,1.5,7.65,196,78,8906982
25,Navsari - Sector 18,Navsari,Gujarat,20.939356,72.956173,1275,2,4,3,53,1995,Studio,Needs Renovation,3,5,3.12,3.01,2.52,5.89,57,60,4030626
26,Porbandar - Sector 11,Porbandar,Gujarat,21.655577,69.611411,2240,4,4,2,192,2018,Apartment,New,2,2,4.88,0.93,0.84,3.98,142,88,6191273
27,Anand - Sector 8,Anand,Gujarat,22.58273,72.915287,2688,2,3,3,82,1981,Penthouse,Needs Renovation,0,10,3.37,2.18,1.64,9.34,88,74,8173448
28,Gandhinagar - Sector 19,Gandhinagar,Gujarat,23.202741,72.656842,3286,3,1,1,42,2014,Farmhouse,Good,0,2,3.78,2.3,3.86,6.72,101,90,13296821
29,Surat - Sector 3,Surat,Gujarat,21.188989,72.849298,3553,4,3,2,72,2013,Studio,Good,2,10,3.29,0.58,4.74,4.1,166,82,13601097
30,Bhavnagar - Sector 6,Bhavnagar,Gujarat,21.78033,72.138031,3375,4,3,3,113,1993,Studio,Needs Renovation,0,8,2.23,4.43,0.56,2.47,135,82,11655663
31,Anand - Sector 11,Anand,Gujarat,22.57043,72.929179,4460,4,4,1,139,2017,Independent House,Good,3,7,4.45,4.8,3.53,7.71,192,54,12496769
32,Valsad - Sector 6,Valsad,Gujarat,20.606222,72.916556,3462,5,1,2,109,2017,Studio,Good,1,9,3.34,0.79,1.63,5.48,53,84,10655039
33,Rajkot - Sector 7,Rajkot,Gujarat,22.293152,70.799778,4895,4,4,2,32,2023,Penthouse,New,3,9,4.48,4.08,4.73,8.44,130,59,15929054
34,Ahmedabad - Sector 3,Ahmedabad,Gujarat,23.024793,72.577538,1655,3,2,3,37,1996,Studio,Needs Renovation,1,7,2.99,3.15,3.14,9.56,129,88,6412390
35,Vadodara - Sector 9,Vadodara,Gujarat,22.315655,73.166152,2933,2,1,1,22,1980,Farmhouse,Needs Renovation,1,2,4.08,3.41,3.1,9.51,87,65,10408828
36,Bharuch - Sector 12,Bharuch,Gujarat,21.72036,72.978394,1466,2,3,1,155,2022,Studio,New,1,8,1.94,2.69,2.37,1.39,75,58,5207489
37,Bhavnagar - Sector 11,Bhavnagar,Gujarat,21.772882,72.146901,4121,5,4,1,197,2015,Studio,Good,1,5,4.91,0.84,4.8,5.77,167,86,12753924
38,Jamnagar - Sector 7,Jamnagar,Gujarat,22.472559,70.05882,2089,5,1,3,161,2011,Apartment,Good,3,8,2.49,2.1,4.39,4.97,192,80,5928520
39,Navsari - Sector 13,Navsari,Gujarat,20.950414,72.933263,1004,4,3,3,187,2010,Penthouse,Good,0,2,1.44,2.62,2.86,9.66,157,80,2594841
40,Mehsana - Sector 14,Mehsana,Gujarat,23.5838,72.375966,3887,4,3,2,147,2008,Row House,Good,2,1,3.86,2.49,2.51,7.72,127,86,10616845
41,Surat - Sector 6,Surat,Gujarat,21.151483,72.848556,512,3,4,1,43,2003,Villa,Good,2,5,2.91,3.13,4.67,5.27,54,78,2166506
42,Junagadh - Sector 3,Junagadh,Gujarat,21.506573,70.465157,2095,4,2,2,55,2019,Penthouse,New,2,1,4.46,3.97,1.62,6.57,162,100,6099691
43,Ahmedabad - Sector 1,Ahmedabad,Gujarat,23.017245,72.573025,604,5,4,2,196,2017,Apartment,Good,0,6,4.88,2.63,3.58,1.77,76,73,2960866
44,Bharuch - Sector 11,Bharuch,Gujarat,21.721607,72.977092,2463,2,4,3,97,2015,Villa,Good,1,9,0.75,3.88,3.76,7.61,188,85,6697472
45,Dwarka - Sector 11,Dwarka,Gujarat,22.250641,68.97233,4582,4,1,3,103,2014,Farmhouse,Good,3,2,2.97,1.77,3.21,4.58,78,80,12280416
46,Veraval - Sector 1,Veraval,Gujarat,20.904864,70.377056,1592,5,2,2,179,2021,Penthouse,New,0,1,4.5,1.15,4.49,7.76,71,68,4123126
47,Dwarka - Sector 4,Dwarka,Gujarat,22.226184,68.970827,4350,5,3,3,139,2021,Independent House,New,2,3,0.79,2.8,3.15,6.12,198,84,9797385
48,Bhavnagar - Sector 18,Bhavnagar,Gujarat,21.776272,72.137287,2345,3,1,3,41,2023,Villa,New,3,7,1.36,2.55,0.91,4.11,126,80,7900446
49,Palanpur - Sector 3,Palanpur,Gujarat,24.161743,72.43467,1488,5,4,2,44,2012,Apartment,Good,0,6,3.92,2.56,3.22,8.75,144,54,3572807
50,Nadiad - Sector 9,Nadiad,Gujarat,22.681454,72.881678,4557,1,1,1,170,2024,Apartment,New,0,4,4.41,1.64,3.58,4.89,116,92,13992484
51,Godhra - Sector 20,Godhra,Gujarat,22.786517,73.619216,846,4,4,1,62,1996,Row House,Needs Renovation,0,7,1.86,2.27,0.62,5.1,83,98,2159621
52,Gandhinagar - Sector 6,Gandhinagar,Gujarat,23.220497,72.631991,2459,5,2,2,28,2019,Independent House,New,1,8,0.8,0.88,1.18,7.92,192,87,8695187
53,Palanpur - Sector 4,Palanpur,Gujarat,24.179319,72.427372,4390,3,1,2,177,2021,Row House,New,2,4,1.74,3.76,0.82,1.43,97,83,13092702
54,Dwarka - Sector 12,Dwarka,Gujarat,22.228209,68.975068,548,2,2,1,187,1987,Farmhouse,Needs Renovation,2,10,2.83,0.92,2.88,1.13,66,74,1600846
55,Bharuch - Sector 18,Bharuch,Gujarat,21.701687,72.978498,2471,3,4,2,116,2006,Studio,Good,1,2,1.63,2.34,4.19,8.2,131,57,7090810
56,Bhavnagar - Sector 13,Bhavnagar,Gujarat,21.784365,72.170069,981,1,2,2,110,1988,Farmhouse,Needs Renovation,0,10,3.99,4.65,0.75,9.5,125,95,2920191
57,Valsad - Sector 17,Valsad,Gujarat,20.612033,72.944728,3230,5,2,1,162,2011,Row House,Good,0,7,4.84,2.42,0.55,4.41,52,61,10190683
58,Porbandar - Sector 4,Porbandar,Gujarat,21.650632,69.643638,4837,1,4,3,103,2012,Villa,Good,1,8,2.13,2.69,3.29,8.93,100,58,12515302
59,Junagadh - Sector 13,Junagadh,Gujarat,21.507,70.448583,4190,5,4,3,177,1984,Studio,Needs Renovation,0,3,4.11,4.78,1.06,3.42,134,52,13521391
60,Junagadh - Sector 5,Junagadh,Gujarat,21.534736,70.445622,3958,1,3,1,129,1998,Independent House,Needs Renovation,2,4,2.77,1.08,1.49,8.94,121,97,11428088
61,Vadodara - Sector 9,Vadodara,Gujarat,22.296028,73.17467,3980,4,1,3,64,1996,Villa,Needs Renovation,2,3,3.06,0.74,2.12,3.78,180,94,14480984
62,Bhavnagar - Sector 19,Bhavnagar,Gujarat,21.769567,72.164279,3593,1,1,2,74,2020,Studio,New,3,8,4.06,2.28,2.94,1.38,58,72,13823001
63,Anand - Sector 8,Anand,Gujarat,22.56974,72.937426,2185,1,2,1,199,2023,Row House,New,3,2,4.02,3.44,2.92,2.15,99,89,7724529
64,Vadodara - Sector 14,Vadodara,Gujarat,22.320809,73.173271,506,2,2,2,129,2006,Row House,Good,2,6,3.64,3.55,4.59,7.1,51,62,1977630
65,Junagadh - Sector 10,Junagadh,Gujarat,21.508594,70.455137,4050,3,1,2,117,2002,Villa,Good,0,10,4.78,1.75,0.86,9.75,160,60,10954439
66,Mehsana - Sector 4,Mehsana,Gujarat,23.589652,72.387893,1344,2,4,2,189,2020,Studio,New,1,7,2.21,3.08,0.89,7.54,109,62,3762605
67,Ahmedabad - Sector 3,Ahmedabad,Gujarat,23.030962,72.588177,2515,1,3,1,78,2020,Villa,New,2,5,1.71,2.25,3.14,1.5,155,52,11337808
68,Morbi - Sector 11,Morbi,Gujarat,22.80441,70.81879,1885,5,3,3,116,2021,Studio,New,0,4,4.1,4.99,4.47,3.07,130,81,5541325
69,Bharuch - Sector 7,Bharuch,Gujarat,21.720989,72.983003,724,1,4,1,173,2018,Penthouse,New,1,7,2.67,1.04,1.22,7.05,116,100,2171606
70,Jamnagar - Sector 20,Jamnagar,Gujarat,22.489162,70.048237,3491,3,1,2,107,2011,Penthouse,Good,1,2,2.49,1.81,2.2,9.94,191,78,8824780
71,Porbandar - Sector 5,Porbandar,Gujarat,21.628451,69.612565,3542,3,1,2,128,2025,Independent House,New,0,7,3.2,3.3,4.27,9.89,62,53,9328291
72,Veraval - Sector 15,Veraval,Gujarat,20.889006,70.354148,949,2,3,1,137,2020,Independent House,New,0,6,1.22,4.62,3.87,5.58,152,69,2359307
73,Ahmedabad - Sector 13,Ahmedabad,Gujarat,23.034388,72.558398,2293,5,3,1,108,2010,Studio,Good,2,1,3.45,1.69,4.92,7.23,193,73,8705816
74,Mehsana - Sector 8,Mehsana,Gujarat,23.573456,72.381039,3966,5,4,3,179,2014,Farmhouse,Good,2,9,4.94,1.24,1.38,7.94,107,55,11023135
75,Bharuch - Sector 3,Bharuch,Gujarat,21.691869,72.978718,783,3,4,3,63,1997,Studio,Needs Renovation,3,6,2.12,0.9,4.98,8.5,97,71,2318060
76,Surat - Sector 12,Surat,Gujarat,21.176202,72.823472,3014,5,3,1,97,2021,Independent House,New,2,9,2.42,4.99,2.22,5.05,147,80,11556384
77,Porbandar - Sector 17,Porbandar,Gujarat,21.623454,69.627949,2606,1,3,3,188,2022,Apartment,New,1,8,0.98,4.2,4.69,6.07,122,97,7036037
78,Palanpur - Sector 12,Palanpur,Gujarat,24.16048,72.456059,4420,1,3,1,50,2018,Row House,New,0,4,3.67,1.05,4.14,2.2,106,86,12843890
79,Bharuch - Sector 7,Bharuch,Gujarat,21.70537,72.976226,2018,5,3,3,52,2016,Studio,Good,1,6,3.61,0.54,3.47,7.88,200,56,5371883
80,Surat - Sector 7,Surat,Gujarat,21.171321,72.850835,3803,1,4,3,129,2004,Apartment,Good,1,2,4.81,3.82,0.65,6.26,181,70,13623509
81,Gandhinagar - Sector 13,Gandhinagar,Gujarat,23.228094,72.627865,2716,1,2,1,149,2020,Row House,New,2,4,4.81,2.41,1.14,4.78,111,73,11355216
82,Anand - Sector 18,Anand,Gujarat,22.558857,72.934005,3861,2,4,3,165,1983,Penthouse,Needs Renovation,1,1,1.39,1.76,2.93,2.83,143,53,12798537
83,Bharuch - Sector 7,Bharuch,Gujarat,21.701789,72.999598,2543,4,3,3,132,2012,Apartment,Good,0,6,1.02,3.23,4.54,9.99,56,98,7587767
84,Porbandar - Sector 10,Porbandar,Gujarat,21.623958,69.635362,1137,2,3,2,174,2001,Villa,Good,1,8,0.68,2.33,0.66,5.85,167,83,2927077
85,Bharuch - Sector 2,Bharuch,Gujarat,21.712063,72.999149,3574,3,2,1,35,2002,Villa,Good,0,10,2.31,2.27,3.26,5.72,65,93,11689632
86,Bhavnagar - Sector 10,Bhavnagar,Gujarat,21.749348,72.164114,4032,4,2,3,22,2003,Farmhouse,Good,2,10,4.16,3.46,1.13,6.65,102,86,13184548
87,Gandhinagar - Sector 12,Gandhinagar,Gujarat,23.224015,72.620341,4578,5,1,1,83,2018,Studio,New,2,7,1.24,0.57,0.77,7.4,176,97,16712673
88,Morbi - Sector 20,Morbi,Gujarat,22.834457,70.857539,4701,5,2,3,79,2012,Studio,Good,3,3,2.66,3.53,3.34,1.19,91,92,15017423
89,Porbandar - Sector 4,Porbandar,Gujarat,21.635824,69.627649,1092,1,1,1,87,1996,Studio,Needs Renovation,2,1,3.54,3.68,0.79,7.02,109,97,2927283
90,Surat - Sector 3,Surat,Gujarat,21.186749,72.832122,4176,3,3,2,193,2025,Farmhouse,New,3,3,1.2,3.35,4.84,2.37,180,55,16310036
91,Valsad - Sector 3,Valsad,Gujarat,20.588578,72.943235,3024,5,1,2,150,2023,Villa,New,0,3,1.29,1.74,4.6,8.68,80,58,8391754
92,Bharuch - Sector 9,Bharuch,Gujarat,21.712158,72.990914,4492,2,2,2,47,1997,Studio,Needs Renovation,2,8,1.9,0.84,2.97,7.82,104,84,13411625
93,Veraval - Sector 6,Veraval,Gujarat,20.898135,70.344647,2000,2,4,1,21,1994,Row House,Needs Renovation,1,2,0.72,3.69,4.72,5.1,58,55,5583045
94,Navsari - Sector 8,Navsari,Gujarat,20.939978,72.933866,4466,2,4,3,114,1985,Farmhouse,Needs Renovation,1,3,1.29,3.91,1.91,4.59,104,80,13809940
95,Mehsana - Sector 2,Mehsana,Gujarat,23.584551,72.363817,1324,1,4,1,23,2025,Row House,New,3,3,1.32,1.56,4.75,8.89,191,63,3258484
96,Godhra - Sector 11,Godhra,Gujarat,22.76648,73.599981,838,1,3,2,92,2007,Independent House,Good,2,10,3.61,1.52,2.53,9.51,70,93,1956439
97,Dwarka - Sector 20,Dwarka,Gujarat,22.251297,68.962383,1131,3,3,1,146,2012,Independent House,Good,1,9,4.64,1.19,3.73,2.31,172,91,2858250
98,Ahmedabad - Sector 4,Ahmedabad,Gujarat,23.039373,72.583069,1731,2,3,3,45,2016,Villa,Good,3,8,0.71,3.66,1.83,5.18,154,78,7219913
99,Morbi - Sector 5,Morbi,Gujarat,22.837217,70.853202,3808,4,4,2,171,2005,Villa,Good,2,4,1.4,0.54,2.62,6.62,126,55,10395141
100,Porbandar - Sector 20,Porbandar,Gujarat,21.655943,69.646158,1959,3,3,3,20,2024,Villa,New,0,2,4.72,1.73,3.44,7.96,60,63,5419048
101,Vadodara - Sector 17,Vadodara,Gujarat,22.299463,73.18128,2720,3,3,2,98,1993,Penthouse,Needs Renovation,1,4,0.63,3.13,1.96,6.22,177,55,9408399
102,Mehsana - Sector 12,Mehsana,Gujarat,23.575108,72.380999,1121,2,3,1,144,2007,Studio,Good,0,6,1.28,3.92,3.36,1.26,177,79,3327535
103,Morbi - Sector 20,Morbi,Gujarat,22.799901,70.847568,2531,2,1,3,152,2022,Villa,New,1,3,4.15,4.12,3.43,9.54,55,83,6967585
104,Ahmedabad - Sector 13,Ahmedabad,Gujarat,23.03443,72.584336,1290,4,3,1,158,2005,Penthouse,Good,1,4,0.8,2.25,3.35,2.65,52,58,6369578
105,Veraval - Sector 4,Veraval,Gujarat,20.903187,70.34676,2930,2,1,3,91,2000,Studio,Good,3,9,3.51,3.48,4.67,8.59,187,56,6510394
106,Bharuch - Sector 5,Bharuch,Gujarat,21.704442,72.996534,2361,2,1,2,151,2019,Independent House,New,2,9,0.84,2.41,1.27,2.35,164,91,7430058
107,Porbandar - Sector 16,Porbandar,Gujarat,21.651931,69.614318,1969,1,4,3,157,2025,Penthouse,New,1,6,3.92,4.39,0.97,9.94,91,92,5019016
108,Mehsana - Sector 9,Mehsana,Gujarat,23.597137,72.352034,2723,2,1,3,169,1980,Villa,Needs Renovation,2,2,2.61,3.15,3.46,5.1,183,74,7391758
109,Rajkot - Sector 7,Rajkot,Gujarat,22.292642,70.78635,4115,4,1,3,137,2002,Farmhouse,Good,2,4,2.74,2.49,3.68,1.17,95,55,16366192
110,Jamnagar - Sector 7,Jamnagar,Gujarat,22.477527,70.051687,2702,4,1,3,94,2002,Farmhouse,Good,1,9,1.91,2.46,2.62,2.6,119,83,8801044
111,Palanpur - Sector 2,Palanpur,Gujarat,24.16394,72.443036,3840,4,4,3,106,1985,Independent House,Needs Renovation,0,4,1.13,4.71,4.5,5.0,147,81,10023091
112,Porbandar - Sector 12,Porbandar,Gujarat,21.631629,69.642971,4418,5,2,1,55,2013,Independent House,Good,3,2,4.15,4.19,0.87,3.88,67,91,13307445
113,Mehsana - Sector 6,Mehsana,Gujarat,23.597072,72.36246,4683,2,4,3,38,2007,Studio,Good,0,7,1.77,4.35,4.7,6.0,145,64,13036910
114,Valsad - Sector 11,Valsad,Gujarat,20.584077,72.941798,3355,1,4,2,57,2013,Villa,Good,3,1,4.2,2.4,4.23,2.6,159,75,9763144
115,Navsari - Sector 12,Navsari,Gujarat,20.936019,72.934091,4286,3,1,3,93,2020,Studio,New,1,7,2.06,4.76,4.08,4.71,187,97,11993850
116,Junagadh - Sector 9,Junagadh,Gujarat,21.527282,70.473524,1319,4,2,3,92,1990,Studio,Needs Renovation,0,8,4.49,4.48,0.72,5.44,192,71,3799192
117,Bhavnagar - Sector 9,Bhavnagar,Gujarat,21.774442,72.157082,1804,2,1,2,34,2022,Villa,New,3,8,2.94,3.97,2.36,3.28,137,81,6109834
118,Veraval - Sector 6,Veraval,Gujarat,20.890446,70.34441,594,3,1,1,79,1982,Farmhouse,Needs Renovation,1,2,1.3,0.83,2.24,6.54,107,73,1521498
119,Gandhinagar - Sector 13,Gandhinagar,Gujarat,23.214324,72.649257,2265,4,1,3,94,1998,Independent House,Needs Renovation,2,5,0.55,3.12,3.87,2.12,74,100,10443995
120,Valsad - Sector 11,Valsad,Gujarat,20.588722,72.946972,2021,2,2,3,46,2004,Row House,Good,3,7,2.06,3.95,0.8,4.0,132,60,5890697
121,Rajkot - Sector 3,Rajkot,Gujarat,22.295461,70.805762,3853,4,3,3,39,1989,Penthouse,Needs Renovation,2,2,2.32,1.53,1.99,7.72,183,98,11978392
122,Dwarka - Sector 18,Dwarka,Gujarat,22.257474,68.984098,1210,4,4,2,170,2023,Penthouse,New,2,2,3.84,3.54,1.8,3.34,129,91,3147228
123,Porbandar - Sector 5,Porbandar,Gujarat,21.63877,69.616984,4133,3,2,1,87,2018,Farmhouse,New,2,2,2.24,2.13,4.5,1.68,148,54,11910499
124,Surat - Sector 12,Surat,Gujarat,21.173539,72.817866,2762,2,2,2,153,2009,Villa,Good,0,8,1.51,3.04,2.31,8.45,129,97,9995691
125,Surat - Sector 11,Surat,Gujarat,21.168976,72.83264,1447,4,4,1,178,2021,Penthouse,New,0,8,2.26,2.41,4.55,3.97,111,98,5921220
126,Porbandar - Sector 6,Porbandar,Gujarat,21.659537,69.646679,1172,1,1,2,65,2020,Villa,New,1,6,2.54,4.77,1.07,1.87,163,93,3304965
127,Morbi - Sector 11,Morbi,Gujarat,22.803746,70.856964,4133,1,2,2,105,2022,Independent House,New,0,1,2.93,4.5,3.67,3.37,157,92,11697441
128,Bharuch - Sector 13,Bharuch,Gujarat,21.695101,72.977368,3453,5,1,2,96,2023,Villa,New,1,3,2.26,1.12,0.88,9.57,62,97,10344994
129,Morbi - Sector 5,Morbi,Gujarat,22.807417,70.824388,609,1,3,1,105,2018,Farmhouse,New,1,1,4.88,1.47,3.8,8.29,80,99,1682588
130,Navsari - Sector 9,Navsari,Gujarat,20.950964,72.950766,4149,3,2,1,112,1995,Studio,Needs Renovation,2,4,4.05,3.91,4.21,9.1,69,58,12006875
131,Bharuch - Sector 1,Bharuch,Gujarat,21.686322,73.004872,4579,1,1,2,172,2018,Row House,New,3,10,0.58,4.47,3.94,6.38,150,54,13412271
132,Valsad - Sector 6,Valsad,Gujarat,20.582853,72.922847,1225,3,3,3,190,1982,Row House,Needs Renovation,1,9,0.53,4.29,1.72,2.1,111,97,3807993
133,Veraval - Sector 14,Veraval,Gujarat,20.895104,70.366905,3091,4,4,2,172,1984,Farmhouse,Needs Renovation,1,3,0.67,3.04,4.65,5.38,131,80,7910287
134,Jamnagar - Sector 20,Jamnagar,Gujarat,22.489451,70.057543,1308,4,3,2,151,1989,Penthouse,Needs Renovation,1,6,2.25,1.67,3.04,1.96,178,77,4028813
135,Valsad - Sector 13,Valsad,Gujarat,20.582735,72.945345,4467,5,2,1,125,2022,Villa,New,3,6,4.62,3.26,1.43,3.0,117,58,13533102
136,Gandhinagar - Sector 12,Gandhinagar,Gujarat,23.233452,72.648719,745,1,3,2,41,2020,Independent House,New,2,7,1.88,3.77,2.46,4.47,167,51,2938544
137,Vadodara - Sector 20,Vadodara,Gujarat,22.323972,73.185356,2588,2,2,3,22,2011,Independent House,Good,0,6,1.6,2.24,4.75,4.97,144,91,9576597
138,Porbandar - Sector 9,Porbandar,Gujarat,21.648104,69.63635,3088,1,4,3,107,1996,Apartment,Needs Renovation,2,4,2.66,1.42,1.35,1.21,136,62,9112129
139,Mehsana - Sector 9,Mehsana,Gujarat,23.575553,72.382435,2920,2,3,3,153,2008,Villa,Good,3,9,4.68,0.68,4.44,9.73,76,73,8040224
140,Rajkot - Sector 14,Rajkot,Gujarat,22.316257,70.802093,2873,1,2,2,154,2000,Studio,Good,0,6,3.46,0.57,1.09,8.19,143,68,9264865
141,Ahmedabad - Sector 20,Ahmedabad,Gujarat,23.011498,72.559597,1483,5,2,3,161,2021,Row House,New,2,2,2.22,2.68,3.56,5.45,190,84,5886627
142,Dwarka - Sector 4,Dwarka,Gujarat,22.237376,68.975777,1389,4,1,2,38,2013,Row House,Good,0,4,2.91,3.76,3.74,8.25,80,84,3414495
143,Bharuch - Sector 14,Bharuch,Gujarat,21.694211,72.988341,3527,3,2,1,166,2024,Independent House,New,1,3,1.68,2.43,1.68,8.87,52,80,10864246
144,Gandhinagar - Sector 18,Gandhinagar,Gujarat,23.22393,72.623499,555,5,3,2,83,2021,Villa,New,3,5,4.5,1.21,4.13,2.36,82,91,2524298
145,Dwarka - Sector 15,Dwarka,Gujarat,22.250154,68.986993,1075,5,4,1,199,2001,Independent House,Good,3,4,3.69,4.84,3.62,4.0,172,57,2620454
146,Dwarka - Sector 10,Dwarka,Gujarat,22.233595,68.959869,806,3,1,3,98,2015,Farmhouse,Good,0,6,1.35,1.18,2.29,6.28,197,91,1810967
147,Jamnagar - Sector 8,Jamnagar,Gujarat,22.462795,70.064562,4020,4,2,3,70,2024,Villa,New,1,9,3.47,4.66,3.98,1.71,85,71,13854758
148,Rajkot - Sector 10,Rajkot,Gujarat,22.296822,70.812481,2211,2,2,1,123,1984,Farmhouse,Needs Renovation,0,5,2.23,3.96,4.35,3.25,57,59,8772523
149,Surat - Sector 3,Surat,Gujarat,21.155626,72.832927,3165,1,2,2,129,2024,Apartment,New,0,4,1.0,3.38,2.03,9.6,143,93,10958116
150,Anand - Sector 13,Anand,Gujarat,22.555364,72.912668,1722,2,4,3,58,1999,Row House,Needs Renovation,2,6,4.39,4.64,3.37,9.84,129,97,4939225
151,Surat - Sector 10,Surat,Gujarat,21.179691,72.847434,1827,2,4,3,194,2000,Independent House,Good,0,7,1.17,0.86,4.93,9.35,95,71,6721213
152,Morbi - Sector 4,Morbi,Gujarat,22.805638,70.836202,1423,2,2,1,93,1998,Farmhouse,Needs Renovation,3,1,1.06,3.07,1.94,1.29,57,75,4706165
153,Bhavnagar - Sector 2,Bhavnagar,Gujarat,21.770874,72.151627,2818,1,3,2,196,2021,Penthouse,New,3,1,4.27,4.26,3.74,8.45,83,62,9019046
154,Godhra - Sector 10,Godhra,Gujarat,22.79474,73.629463,4896,4,1,2,118,2004,Penthouse,Good,1,7,2.11,0.8,2.83,7.25,113,55,11510464
155,Navsari - Sector 5,Navsari,Gujarat,20.932086,72.946919,2041,5,3,3,78,2021,Independent House,New,3,5,4.94,3.7,2.03,6.42,65,63,6320558
156,Palanpur - Sector 20,Palanpur,Gujarat,24.178935,72.431755,1202,4,4,1,197,2018,Apartment,New,0,8,1.25,4.52,3.41,6.53,139,79,3059188
157,Anand - Sector 16,Anand,Gujarat,22.570374,72.948359,2233,4,4,3,136,2013,Row House,Good,2,10,1.55,2.02,3.92,2.96,91,83,7829495
158,Anand - Sector 1,Anand,Gujarat,22.554983,72.925403,4039,5,1,2,80,2010,Studio,Good,3,4,1.68,3.98,1.93,1.37,58,81,15172001
159,Dwarka - Sector 9,Dwarka,Gujarat,22.253379,68.961085,3621,3,1,3,177,2025,Row House,New,2,4,0.99,4.68,3.43,6.99,78,83,9189859
